"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.image_url1","Input.image_url2","Input.image_url3","Input.y_mean","Input.y_std","Answer.Density","Answer.Line","Answer.Scatter","Turkle.Username"
"42310","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3421","53","Wed Mar 03 13:43:12 UTC 2021","Wed Mar 03 13:43:22 UTC 2021","9","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/714/714_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/714/714_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/714/714_density_num.png","0.40","0.38","Doable","Doable","Best","Prabhat"
"42311","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3422","53","Wed Mar 03 13:43:22 UTC 2021","Wed Mar 03 13:43:28 UTC 2021","6","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/16/16_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/16/16_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/16/16_density_num.png","0.44","0.40","Doable","Doable","Best","Prabhat"
"42312","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3423","53","Wed Mar 03 13:43:28 UTC 2021","Wed Mar 03 13:43:43 UTC 2021","14","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1086/1086_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1086/1086_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1086/1086_density_num.png","0.47","0.36","Doable","Doable","Best","Prabhat"
"42313","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3424","53","Wed Mar 03 13:43:43 UTC 2021","Wed Mar 03 13:44:02 UTC 2021","19","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1283/1283_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1283/1283_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1283/1283_density_num.png","0.43","0.18","Best","Doable","Doable","Prabhat"
"42314","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3425","53","Wed Mar 03 13:44:02 UTC 2021","Wed Mar 03 13:44:11 UTC 2021","8","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/117/117_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/117/117_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/117/117_density_num.png","0.53","0.45","Best","Impossible","Impossible","Prabhat"
"42315","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3426","53","Wed Mar 03 13:44:11 UTC 2021","Wed Mar 03 13:44:18 UTC 2021","7","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/961/961_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/961/961_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/961/961_density_num.png","0.46","0.30","Doable","Doable","Best","Prabhat"
"42318","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3429","53","Wed Mar 03 13:44:23 UTC 2021","Wed Mar 03 13:44:58 UTC 2021","34","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1401/1401_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1401/1401_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1401/1401_density_num.png","0.51","0.25","Best","Doable","Doable","Prabhat"
"42319","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3430","53","Wed Mar 03 13:44:58 UTC 2021","Wed Mar 03 13:45:09 UTC 2021","11","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/849/849_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/849/849_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/849/849_density_num.png","0.46","0.25","Best","Impossible","Impossible","Prabhat"
"42320","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3432","53","Wed Mar 03 13:45:24 UTC 2021","Wed Mar 03 13:45:34 UTC 2021","10","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/871/871_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/871/871_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/871/871_density_num.png","0.53","0.21","Best","Impossible","Impossible","Prabhat"
"42321","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3433","53","Wed Mar 03 13:45:35 UTC 2021","Wed Mar 03 13:45:43 UTC 2021","8","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/442/442_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/442/442_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/442/442_density_num.png","0.50","0.45","Best","Impossible","Doable","Prabhat"
"42322","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3434","53","Wed Mar 03 13:45:43 UTC 2021","Wed Mar 03 13:45:55 UTC 2021","11","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/838/838_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/838/838_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/838/838_density_num.png","0.50","0.35","Best","Impossible","Doable","Prabhat"
"42323","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3435","53","Wed Mar 03 13:45:55 UTC 2021","Wed Mar 03 13:46:09 UTC 2021","14","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/898/898_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/898/898_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/898/898_density_num.png","0.56","0.25","Doable","Doable","Best","Prabhat"
"42324","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3436","53","Wed Mar 03 13:46:09 UTC 2021","Wed Mar 03 13:46:15 UTC 2021","5","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/696/696_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/696/696_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/696/696_density_num.png","0.44","0.45","Doable","Doable","Best","Prabhat"
"42325","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3437","53","Wed Mar 03 13:46:15 UTC 2021","Wed Mar 03 13:46:21 UTC 2021","6","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1396/1396_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1396/1396_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1396/1396_density_num.png","0.40","0.32","Doable","Doable","Best","Prabhat"
"42326","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3438","53","Wed Mar 03 13:46:21 UTC 2021","Wed Mar 03 13:46:28 UTC 2021","6","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/495/495_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/495/495_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/495/495_density_num.png","0.50","0.50","Doable","Doable","Best","Prabhat"
"42327","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3439","53","Wed Mar 03 13:46:28 UTC 2021","Wed Mar 03 13:46:38 UTC 2021","9","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1104/1104_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1104/1104_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1104/1104_density_num.png","0.18","0.10","Best","Impossible","Impossible","Prabhat"
"42328","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3440","53","Wed Mar 03 13:46:38 UTC 2021","Wed Mar 03 13:46:47 UTC 2021","9","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/3/3_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/3/3_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/3/3_density_num.png","0.73","0.35","Doable","Doable","Best","Prabhat"
"42329","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3441","53","Wed Mar 03 13:46:47 UTC 2021","Wed Mar 03 13:46:55 UTC 2021","7","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1425/1425_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1425/1425_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1425/1425_density_num.png","0.44","0.23","Best","Doable","Doable","Prabhat"
"42330","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3442","53","Wed Mar 03 13:46:55 UTC 2021","Wed Mar 03 13:47:08 UTC 2021","12","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1041/1041_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1041/1041_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1041/1041_density_num.png","0.61","0.23","Doable","Doable","Best","Prabhat"
"42316","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3443","53","Wed Mar 03 13:47:08 UTC 2021","Wed Mar 03 13:47:19 UTC 2021","11","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1235/1235_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1235/1235_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/1235/1235_density_num.png","0.45","0.38","Doable","Doable","Best","Prabhat"
"42317","21","Q1_TEST","Tue Feb 02 13:49:45 UTC 2021","1","86400","3444","53","Wed Mar 03 13:47:19 UTC 2021","Wed Mar 03 13:47:31 UTC 2021","11","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/37/37_scatter_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/37/37_line_num.png","https://raw.githubusercontent.com/ritvik06/turkle-data/master/turkle_data/37/37_density_num.png","0.48","0.29","Doable","Doable","Best","Prabhat"
